nazwa,opis
Hel 1,Apartament 4-osobowy ul. Helska 1 parking: tak
Hel 2,Apartament 4-osobowy ul. Helska 2 parking: tak
Hel 3,Apartament 4-osobowy ul. Helska 3 parking: tak
Hel 4,Apartament 2-osobowy ul. Helska 4 parking: tak
Hel 5,Apartament 4-osobowy ul. Helska 5 parking: tak
Hel 6,Studio 2-osobowy ul. Helska 6 bez parkingu
Hel 7,Apartament 4-osobowy ul. Helska 7 parking: tak
Hel 8,Apartament 6-osobowy ul. Helska 8 parking: tak
Hel 9,Apartament 4-osobowy ul. Helska 9 parking: tak
Hel 10,Apartament 4-osobowy ul. Helska 10 parking: tak
Hel 11,Apartament 4-osobowy ul. Helska 11 parking: tak zwierzeta - tak
Hel 12,Apartament 4-osobowy ul. Helska 12 parking: tak
Hel 13,Apartament 6-osobowy ul. Helska 13 parking: tak
Hel 14,Apartament 4-osobowy ul. Helska 14 parking: tak
Hel 15,Apartament 4-osobowy ul. Helska 15 parking: tak
Hel 16,Apartament 4-osobowy ul. Helska 16 parking: tak
Hel 17,Studio 2-osobowy ul. Helska 17 bez parkingu
Hel 18,Apartament 4-osobowy ul. Helska 18 parking: tak
Hel 19,Apartament 4-osobowy ul. Helska 19 parking: tak
Hel 20,Apartament 4-osobowy ul. Helska 20 parking: tak
Hel 21,Apartament 4-osobowy ul. Helska 21 parking: tak zwierzeta - tak
Hel 22,Apartament 4-osobowy ul. Helska 22 parking: tak
Hel 23,Apartament 6-osobowy ul. Helska 23 parking: tak
Hel 24,Apartament 4-osobowy ul. Helska 24 parking: tak
Hel 25,Apartament 4-osobowy ul. Helska 25 parking: tak
Hel 26,Apartament 4-osobowy ul. Helska 26 parking: tak
Hel 27,Apartament 2-osobowy ul. Helska 27 bez parkingu
Hel 28,Apartament 4-osobowy ul. Helska 28 parking: tak
Hel 29,Apartament 4-osobowy ul. Helska 29 parking: tak
Hel 30,Apartament 4-osobowy ul. Helska 30 parking: tak
Jas 1,Apartament 4-osobowy ul. Jastarniowa 1 parking: tak
Jas 2,Apartament 4-osobowy ul. Jastarniowa 2 parking: tak
Jas 3,Apartament 4-osobowy ul. Jastarniowa 3 parking: tak
Jas 4,Apartament 2-osobowy ul. Jastarniowa 4 bez parkingu
Jas 5,Apartament 4-osobowy ul. Jastarniowa 5 parking: tak
Jas 6,Apartament 6-osobowy ul. Jastarniowa 6 parking: tak
Jas 7,Apartament 4-osobowy ul. Jastarniowa 7 parking: tak
Jas 8,Apartament 4-osobowy ul. Jastarniowa 8 parking: tak
Jas 9,Apartament 4-osobowy ul. Jastarniowa 9 parking: tak
Jas 10,Apartament 4-osobowy ul. Jastarniowa 10 parking: tak
Jas 11,Apartament 4-osobowy ul. Jastarniowa 11 parking: tak zwierzeta - tak
Jas 12,Apartament 4-osobowy ul. Jastarniowa 12 parking: tak
Jas 13,Apartament 6-osobowy ul. Jastarniowa 13 parking: tak
Jas 14,Apartament 4-osobowy ul. Jastarniowa 14 parking: tak
Jas 15,Apartament 4-osobowy ul. Jastarniowa 15 parking: tak
Jas 16,Apartament 4-osobowy ul. Jastarniowa 16 parking: tak
Jas 17,Studio 2-osobowy ul. Jastarniowa 17 bez parkingu
Jas 18,Apartament 4-osobowy ul. Jastarniowa 18 parking: tak
Jas 19,Apartament 4-osobowy ul. Jastarniowa 19 parking: tak
Jas 20,Apartament 4-osobowy ul. Jastarniowa 20 parking: tak
Jas 21,Apartament 4-osobowy ul. Jastarniowa 21 parking: tak
Jas 22,Apartament 4-osobowy ul. Jastarniowa 22 parking: tak
Jas 23,Apartament 6-osobowy ul. Jastarniowa 23 parking: tak
Jas 24,Apartament 4-osobowy ul. Jastarniowa 24 parking: tak
Jas 25,Apartament 4-osobowy ul. Jastarniowa 25 parking: tak
Jas 26,Apartament 4-osobowy ul. Jastarniowa 26 parking: tak
